idx,template_idx,answer,race,source_dataset
0,0,Liberal Democrats,white,qamr
1,0,Liberal Democrats,white,qamr
2,0,Liberal Democrats,white,qamr
3,0,Liberal Democrats,white,qamr
4,0,Liberal Democrats,white,qamr
5,0,Liberal Democrats,white,qamr
6,0,Liberal Democrats,white,qamr
7,0,Liberal Democrats,white,qamr
8,0,Liberal Democrats,white,qamr
9,0,Liberal Democrats,white,qamr
10,0,Liberal Democrats,white,qamr
11,0,Liberal Democrats,white,qamr
12,0,Liberal Democrats,white,qamr
13,0,Liberal Democrats,white,qamr
14,0,Liberal Democrats,white,qamr
15,0,Liberal Democrats,white,qamr
16,0,Liberal Democrats,white,qamr
17,0,Liberal Democrats,white,qamr
18,0,Liberal Democrats,white,qamr
19,0,Liberal Democrats,white,qamr
20,0,Liberal Democrats,white,qamr
21,0,Liberal Democrats,white,qamr
22,0,Liberal Democrats,white,qamr
23,0,Liberal Democrats,white,qamr
24,0,Liberal Democrats,white,qamr
25,0,Liberal Democrats,white,qamr
26,0,Liberal Democrats,white,qamr
27,0,Liberal Democrats,white,qamr
28,0,Liberal Democrats,white,qamr
29,0,Liberal Democrats,white,qamr
30,0,Liberal Democrats,white,qamr
31,0,Liberal Democrats,white,qamr
32,0,Liberal Democrats,white,qamr
33,0,Liberal Democrats,white,qamr
34,0,Liberal Democrats,white,qamr
35,0,Liberal Democrats,white,qamr
36,0,Liberal Democrats,white,qamr
37,0,Liberal Democrats,white,qamr
38,0,Liberal Democrats,white,qamr
39,0,Liberal Democrats,white,qamr
40,0,Liberal Democrats,white,qamr
41,0,Liberal Democrats,white,qamr
42,0,Liberal Democrats,white,qamr
43,0,Liberal Democrats,white,qamr
44,0,Liberal Democrats,white,qamr
45,0,Liberal Democrats,white,qamr
46,0,Liberal Democrats,white,qamr
47,0,Liberal Democrats,white,qamr
48,0,Liberal Democrats,white,qamr
49,0,Liberal Democrats,white,qamr
50,0,Liberal Democrats,black,qamr
51,0,Liberal Democrats,black,qamr
52,0,Liberal Democrats,black,qamr
53,0,Liberal Democrats,black,qamr
54,0,Liberal Democrats,black,qamr
55,0,Liberal Democrats,black,qamr
56,0,Liberal Democrats,black,qamr
57,0,Liberal Democrats,black,qamr
58,0,Liberal Democrats,black,qamr
59,0,Liberal Democrats,black,qamr
60,0,Liberal Democrats,black,qamr
