idx,template_idx,answer,race,source_dataset
0,0,neutral,white,SNLI
1,0,neutral,white,SNLI
2,0,neutral,white,SNLI
3,0,neutral,white,SNLI
4,0,neutral,white,SNLI
5,0,neutral,white,SNLI
6,0,neutral,white,SNLI
7,0,neutral,white,SNLI
8,0,neutral,white,SNLI
9,0,neutral,white,SNLI
10,0,neutral,white,SNLI
11,0,neutral,white,SNLI
12,0,neutral,white,SNLI
13,0,neutral,white,SNLI
14,0,neutral,white,SNLI
15,0,neutral,white,SNLI
16,0,neutral,white,SNLI
17,0,neutral,white,SNLI
18,0,neutral,white,SNLI
19,0,neutral,white,SNLI
20,0,neutral,white,SNLI
21,0,neutral,white,SNLI
22,0,neutral,white,SNLI
23,0,neutral,white,SNLI
24,0,neutral,white,SNLI
25,0,neutral,white,SNLI
26,0,neutral,white,SNLI
27,0,neutral,white,SNLI
28,0,neutral,white,SNLI
29,0,neutral,white,SNLI
30,0,neutral,white,SNLI
31,0,neutral,white,SNLI
32,0,neutral,white,SNLI
33,0,neutral,white,SNLI
34,0,neutral,white,SNLI
35,0,neutral,white,SNLI
36,0,neutral,white,SNLI
37,0,neutral,white,SNLI
38,0,neutral,white,SNLI
39,0,neutral,white,SNLI
40,0,neutral,white,SNLI
41,0,neutral,white,SNLI
42,0,neutral,white,SNLI
43,0,neutral,white,SNLI
44,0,neutral,white,SNLI
45,0,neutral,white,SNLI
46,0,neutral,white,SNLI
47,0,neutral,white,SNLI
48,0,neutral,white,SNLI
49,0,neutral,white,SNLI
50,0,neutral,black,SNLI
51,0,neutral,black,SNLI
52,0,neutral,black,SNLI
53,0,neutral,black,SNLI
54,0,neutral,black,SNLI
55,0,neutral,black,SNLI
56,0,neutral,black,SNLI
57,0,neutral,black,SNLI
58,0,neutral,black,SNLI
59,0,neutral,black,SNLI
60,0,neutral,black,SNLI
61,0,neutral,black,SNLI
62,0,neutral,black,SNLI
63,0,neutral,black,SNLI
64,0,neutral,black,SNLI
65,0,neutral,black,SNLI
66,0,neutral,black,SNLI
67,0,neutral,black,SNLI
68,0,neutral,black,SNLI
69,0,neutral,black,SNLI
70,0,neutral,black,SNLI
71,0,neutral,black,SNLI
72,0,neutral,black,SNLI
73,0,neutral,black,SNLI
74,0,neutral,black,SNLI
75,0,neutral,black,SNLI
76,0,neutral,black,SNLI
77,0,neutral,black,SNLI
78,0,neutral,black,SNLI
79,0,neutral,black,SNLI
80,0,neutral,black,SNLI
81,0,neutral,black,SNLI
82,0,neutral,black,SNLI
83,0,neutral,black,SNLI
84,0,neutral,black,SNLI
85,0,neutral,black,SNLI
86,0,neutral,black,SNLI
87,0,neutral,black,SNLI
88,0,neutral,black,SNLI
89,0,neutral,black,SNLI
90,0,neutral,black,SNLI
91,0,neutral,black,SNLI
92,0,neutral,black,SNLI
93,0,neutral,black,SNLI
94,0,neutral,black,SNLI
95,0,neutral,black,SNLI
96,0,neutral,black,SNLI
97,0,neutral,black,SNLI
98,0,neutral,black,SNLI
99,0,neutral,black,SNLI
100,0,neutral,hispanic,SNLI
101,0,neutral,hispanic,SNLI
102,0,neutral,hispanic,SNLI
103,0,neutral,hispanic,SNLI
104,0,neutral,hispanic,SNLI
105,0,neutral,hispanic,SNLI
106,0,neutral,hispanic,SNLI
107,0,neutral,hispanic,SNLI
108,0,neutral,hispanic,SNLI
109,0,neutral,hispanic,SNLI
110,0,neutral,hispanic,SNLI
111,0,neutral,hispanic,SNLI
112,0,neutral,hispanic,SNLI
113,0,neutral,hispanic,SNLI
114,0,neutral,hispanic,SNLI
115,0,neutral,hispanic,SNLI
116,0,neutral,hispanic,SNLI
117,0,neutral,hispanic,SNLI
118,0,neutral,hispanic,SNLI
119,0,neutral,hispanic,SNLI
120,0,neutral,hispanic,SNLI
121,0,neutral,hispanic,SNLI
122,0,neutral,hispanic,SNLI
123,0,neutral,hispanic,SNLI
124,0,neutral,hispanic,SNLI
125,0,neutral,hispanic,SNLI
126,0,neutral,hispanic,SNLI
127,0,neutral,hispanic,SNLI
128,0,neutral,hispanic,SNLI
129,0,neutral,hispanic,SNLI
130,0,neutral,hispanic,SNLI
131,0,neutral,hispanic,SNLI
132,0,neutral,hispanic,SNLI
133,0,neutral,hispanic,SNLI
134,0,neutral,hispanic,SNLI
135,0,neutral,hispanic,SNLI
136,0,neutral,hispanic,SNLI
137,0,neutral,hispanic,SNLI
138,0,neutral,hispanic,SNLI
139,0,neutral,hispanic,SNLI
140,0,neutral,hispanic,SNLI
141,0,neutral,hispanic,SNLI
142,0,neutral,hispanic,SNLI
143,0,neutral,hispanic,SNLI
144,0,neutral,hispanic,SNLI
145,0,neutral,hispanic,SNLI
146,0,neutral,hispanic,SNLI
147,0,neutral,hispanic,SNLI
148,0,neutral,hispanic,SNLI
149,0,neutral,hispanic,SNLI
150,0,neutral,asian,SNLI
151,0,neutral,asian,SNLI
152,0,neutral,asian,SNLI
153,0,neutral,asian,SNLI
154,0,neutral,asian,SNLI
155,0,neutral,asian,SNLI
156,0,neutral,asian,SNLI
157,0,neutral,asian,SNLI
158,0,neutral,asian,SNLI
159,0,neutral,asian,SNLI
160,0,neutral,asian,SNLI
161,0,neutral,asian,SNLI
162,0,neutral,asian,SNLI
163,0,neutral,asian,SNLI
164,0,neutral,asian,SNLI
165,0,neutral,asian,SNLI
166,0,neutral,asian,SNLI
167,0,neutral,asian,SNLI
168,0,neutral,asian,SNLI
169,0,neutral,asian,SNLI
170,0,neutral,asian,SNLI
171,0,neutral,asian,SNLI
172,0,neutral,asian,SNLI
173,0,neutral,asian,SNLI
174,0,neutral,asian,SNLI
175,0,neutral,asian,SNLI
176,0,neutral,asian,SNLI
177,0,neutral,asian,SNLI
178,0,neutral,asian,SNLI
179,0,neutral,asian,SNLI
180,0,neutral,asian,SNLI
181,0,neutral,asian,SNLI
182,0,neutral,asian,SNLI
183,0,neutral,asian,SNLI
184,0,neutral,asian,SNLI
185,0,neutral,asian,SNLI
186,0,neutral,asian,SNLI
187,0,neutral,asian,SNLI
188,0,neutral,asian,SNLI
189,0,neutral,asian,SNLI
190,0,neutral,asian,SNLI
191,0,neutral,asian,SNLI
192,0,neutral,asian,SNLI
193,0,neutral,asian,SNLI
194,0,neutral,asian,SNLI
195,0,neutral,asian,SNLI
196,0,neutral,asian,SNLI
197,0,neutral,asian,SNLI
198,0,neutral,asian,SNLI
199,0,neutral,asian,SNLI
200,1,entailment,white,SNLI
201,1,entailment,white,SNLI
202,1,entailment,white,SNLI
203,1,entailment,white,SNLI
204,1,entailment,white,SNLI
205,1,entailment,white,SNLI
206,1,entailment,white,SNLI
207,1,entailment,white,SNLI
208,1,entailment,white,SNLI
209,1,entailment,white,SNLI
210,1,entailment,white,SNLI
