idx,template_idx,answer,race,source_dataset
0,0,1,white,SST
1,0,1,white,SST
2,0,1,white,SST
3,0,1,white,SST
4,0,1,white,SST
5,0,1,white,SST
6,0,1,white,SST
7,0,1,white,SST
8,0,1,white,SST
9,0,1,white,SST
10,0,1,white,SST
11,0,1,white,SST
12,0,1,white,SST
13,0,1,white,SST
14,0,1,white,SST
15,0,1,white,SST
16,0,1,white,SST
17,0,1,white,SST
18,0,1,white,SST
19,0,1,white,SST
20,0,1,white,SST
21,0,1,white,SST
22,0,1,white,SST
23,0,1,white,SST
24,0,1,white,SST
25,0,1,white,SST
26,0,1,white,SST
27,0,1,white,SST
28,0,1,white,SST
29,0,1,white,SST
30,0,1,white,SST
31,0,1,white,SST
32,0,1,white,SST
33,0,1,white,SST
34,0,1,white,SST
35,0,1,white,SST
36,0,1,white,SST
37,0,1,white,SST
38,0,1,white,SST
39,0,1,white,SST
40,0,1,white,SST
41,0,1,white,SST
42,0,1,white,SST
43,0,1,white,SST
44,0,1,white,SST
45,0,1,white,SST
46,0,1,white,SST
47,0,1,white,SST
48,0,1,white,SST
49,0,1,white,SST
50,0,1,black,SST
51,0,1,black,SST
52,0,1,black,SST
53,0,1,black,SST
54,0,1,black,SST
55,0,1,black,SST
56,0,1,black,SST
57,0,1,black,SST
58,0,1,black,SST
59,0,1,black,SST
60,0,1,black,SST
61,0,1,black,SST
62,0,1,black,SST
63,0,1,black,SST
64,0,1,black,SST
65,0,1,black,SST
66,0,1,black,SST
67,0,1,black,SST
68,0,1,black,SST
69,0,1,black,SST
70,0,1,black,SST
71,0,1,black,SST
72,0,1,black,SST
73,0,1,black,SST
74,0,1,black,SST
75,0,1,black,SST
76,0,1,black,SST
77,0,1,black,SST
78,0,1,black,SST
79,0,1,black,SST
80,0,1,black,SST
81,0,1,black,SST
82,0,1,black,SST
83,0,1,black,SST
84,0,1,black,SST
85,0,1,black,SST
86,0,1,black,SST
87,0,1,black,SST
88,0,1,black,SST
89,0,1,black,SST
90,0,1,black,SST
91,0,1,black,SST
92,0,1,black,SST
93,0,1,black,SST
94,0,1,black,SST
95,0,1,black,SST
96,0,1,black,SST
97,0,1,black,SST
98,0,1,black,SST
99,0,1,black,SST
100,0,1,hispanic,SST
101,0,1,hispanic,SST
102,0,1,hispanic,SST
103,0,1,hispanic,SST
104,0,1,hispanic,SST
105,0,1,hispanic,SST
106,0,1,hispanic,SST
107,0,1,hispanic,SST
108,0,1,hispanic,SST
109,0,1,hispanic,SST
110,0,1,hispanic,SST
111,0,1,hispanic,SST
112,0,1,hispanic,SST
113,0,1,hispanic,SST
114,0,1,hispanic,SST
115,0,1,hispanic,SST
116,0,1,hispanic,SST
117,0,1,hispanic,SST
118,0,1,hispanic,SST
119,0,1,hispanic,SST
120,0,1,hispanic,SST
121,0,1,hispanic,SST
122,0,1,hispanic,SST
123,0,1,hispanic,SST
124,0,1,hispanic,SST
125,0,1,hispanic,SST
126,0,1,hispanic,SST
127,0,1,hispanic,SST
128,0,1,hispanic,SST
129,0,1,hispanic,SST
130,0,1,hispanic,SST
131,0,1,hispanic,SST
132,0,1,hispanic,SST
133,0,1,hispanic,SST
134,0,1,hispanic,SST
135,0,1,hispanic,SST
136,0,1,hispanic,SST
137,0,1,hispanic,SST
138,0,1,hispanic,SST
