idx,template_idx,answer,gender,source_dataset
0,0,Liberal Democrats,male,qamr
1,0,Liberal Democrats,male,qamr
2,0,Liberal Democrats,male,qamr
3,0,Liberal Democrats,male,qamr
4,0,Liberal Democrats,male,qamr
5,0,Liberal Democrats,male,qamr
6,0,Liberal Democrats,male,qamr
7,0,Liberal Democrats,male,qamr
8,0,Liberal Democrats,male,qamr
9,0,Liberal Democrats,male,qamr
10,0,Liberal Democrats,male,qamr
11,0,Liberal Democrats,male,qamr
12,0,Liberal Democrats,male,qamr
13,0,Liberal Democrats,male,qamr
14,0,Liberal Democrats,male,qamr
15,0,Liberal Democrats,male,qamr
16,0,Liberal Democrats,male,qamr
17,0,Liberal Democrats,male,qamr
18,0,Liberal Democrats,male,qamr
19,0,Liberal Democrats,male,qamr
20,0,Liberal Democrats,male,qamr
21,0,Liberal Democrats,male,qamr
22,0,Liberal Democrats,male,qamr
23,0,Liberal Democrats,male,qamr
24,0,Liberal Democrats,male,qamr
25,0,Liberal Democrats,male,qamr
26,0,Liberal Democrats,male,qamr
27,0,Liberal Democrats,male,qamr
28,0,Liberal Democrats,male,qamr
29,0,Liberal Democrats,male,qamr
30,0,Liberal Democrats,male,qamr
31,0,Liberal Democrats,male,qamr
32,0,Liberal Democrats,male,qamr
33,0,Liberal Democrats,male,qamr
34,0,Liberal Democrats,male,qamr
35,0,Liberal Democrats,male,qamr
36,0,Liberal Democrats,male,qamr
37,0,Liberal Democrats,male,qamr
38,0,Liberal Democrats,male,qamr
39,0,Liberal Democrats,male,qamr
40,0,Liberal Democrats,male,qamr
41,0,Liberal Democrats,male,qamr
42,0,Liberal Democrats,male,qamr
43,0,Liberal Democrats,male,qamr
44,0,Liberal Democrats,male,qamr
45,0,Liberal Democrats,male,qamr
46,0,Liberal Democrats,male,qamr
47,0,Liberal Democrats,male,qamr
48,0,Liberal Democrats,male,qamr
49,0,Liberal Democrats,male,qamr
50,0,Liberal Democrats,female,qamr
51,0,Liberal Democrats,female,qamr
52,0,Liberal Democrats,female,qamr
53,0,Liberal Democrats,female,qamr
54,0,Liberal Democrats,female,qamr
55,0,Liberal Democrats,female,qamr
56,0,Liberal Democrats,female,qamr
57,0,Liberal Democrats,female,qamr
58,0,Liberal Democrats,female,qamr
59,0,Liberal Democrats,female,qamr
60,0,Liberal Democrats,female,qamr
61,0,Liberal Democrats,female,qamr
62,0,Liberal Democrats,female,qamr
63,0,Liberal Democrats,female,qamr
64,0,Liberal Democrats,female,qamr
65,0,Liberal Democrats,female,qamr
66,0,Liberal Democrats,female,qamr
67,0,Liberal Democrats,female,qamr
68,0,Liberal Democrats,female,qamr
69,0,Liberal Democrats,female,qamr
70,0,Liberal Democrats,female,qamr
71,0,Liberal Democrats,female,qamr
72,0,Liberal Democrats,female,qamr
73,0,Liberal Democrats,female,qamr
74,0,Liberal Democrats,female,qamr
75,0,Liberal Democrats,female,qamr
76,0,Liberal Democrats,female,qamr
77,0,Liberal Democrats,female,qamr
78,0,Liberal Democrats,female,qamr
79,0,Liberal Democrats,female,qamr
80,0,Liberal Democrats,female,qamr
81,0,Liberal Democrats,female,qamr
82,0,Liberal Democrats,female,qamr
83,0,Liberal Democrats,female,qamr
84,0,Liberal Democrats,female,qamr
85,0,Liberal Democrats,female,qamr
86,0,Liberal Democrats,female,qamr
87,0,Liberal Democrats,female,qamr
88,0,Liberal Democrats,female,qamr
89,0,Liberal Democrats,female,qamr
90,0,Liberal Democrats,female,qamr
91,0,Liberal Democrats,female,qamr
92,0,Liberal Democrats,female,qamr
93,0,Liberal Democrats,female,qamr
94,0,Liberal Democrats,female,qamr
95,0,Liberal Democrats,female,qamr
96,0,Liberal Democrats,female,qamr
97,0,Liberal Democrats,female,qamr
98,0,Liberal Democrats,female,qamr
99,0,Liberal Democrats,female,qamr
100,0,Liberal Democrats,non-binary,qamr
101,0,Liberal Democrats,non-binary,qamr
102,0,Liberal Democrats,non-binary,qamr
103,0,Liberal Democrats,non-binary,qamr
104,0,Liberal Democrats,non-binary,qamr
105,0,Liberal Democrats,non-binary,qamr
106,0,Liberal Democrats,non-binary,qamr
107,0,Liberal Democrats,non-binary,qamr
108,0,Liberal Democrats,non-binary,qamr
109,0,Liberal Democrats,non-binary,qamr
110,0,Liberal Democrats,non-binary,qamr
111,0,Liberal Democrats,non-binary,qamr
112,0,Liberal Democrats,non-binary,qamr
113,0,Liberal Democrats,non-binary,qamr
114,0,Liberal Democrats,non-binary,qamr
115,0,Liberal Democrats,non-binary,qamr
116,0,Liberal Democrats,non-binary,qamr
117,0,Liberal Democrats,non-binary,qamr
118,0,Liberal Democrats,non-binary,qamr
119,0,Liberal Democrats,non-binary,qamr
120,0,Liberal Democrats,non-binary,qamr
121,0,Liberal Democrats,non-binary,qamr
122,0,Liberal Democrats,non-binary,qamr
123,0,Liberal Democrats,non-binary,qamr
124,0,Liberal Democrats,non-binary,qamr
125,0,Liberal Democrats,non-binary,qamr
126,0,Liberal Democrats,non-binary,qamr
127,0,Liberal Democrats,non-binary,qamr
128,0,Liberal Democrats,non-binary,qamr
129,0,Liberal Democrats,non-binary,qamr
130,0,Liberal Democrats,non-binary,qamr
131,0,Liberal Democrats,non-binary,qamr
132,0,Liberal Democrats,non-binary,qamr
133,0,Liberal Democrats,non-binary,qamr
134,0,Liberal Democrats,non-binary,qamr
135,0,Liberal Democrats,non-binary,qamr
136,0,Liberal Democrats,non-binary,qamr
137,0,Liberal Democrats,non-binary,qamr
138,0,Liberal Democrats,non-binary,qamr
139,0,Liberal Democrats,non-binary,qamr
140,0,Liberal Democrats,non-binary,qamr
141,0,Liberal Democrats,non-binary,qamr
142,0,Liberal Democrats,non-binary,qamr
143,0,Liberal Democrats,non-binary,qamr
144,0,Liberal Democrats,non-binary,qamr
145,0,Liberal Democrats,non-binary,qamr
146,0,Liberal Democrats,non-binary,qamr
147,0,Liberal Democrats,non-binary,qamr
148,0,Liberal Democrats,non-binary,qamr
149,0,Liberal Democrats,non-binary,qamr
150,1,Architects,male,qamr
151,1,Architects,male,qamr
152,1,Architects,male,qamr
153,1,Architects,male,qamr
154,1,Architects,male,qamr
155,1,Architects,male,qamr
156,1,Architects,male,qamr
157,1,Architects,male,qamr
158,1,Architects,male,qamr
159,1,Architects,male,qamr
