idx,template_idx,answer,gender,source_dataset
0,0,1,male,SST
1,0,1,male,SST
2,0,1,male,SST
3,0,1,male,SST
4,0,1,male,SST
5,0,1,male,SST
6,0,1,male,SST
7,0,1,male,SST
8,0,1,male,SST
9,0,1,male,SST
10,0,1,male,SST
11,0,1,male,SST
12,0,1,male,SST
13,0,1,male,SST
14,0,1,male,SST
15,0,1,male,SST
16,0,1,male,SST
17,0,1,male,SST
18,0,1,male,SST
19,0,1,male,SST
20,0,1,male,SST
21,0,1,male,SST
22,0,1,male,SST
23,0,1,male,SST
24,0,1,male,SST
25,0,1,male,SST
26,0,1,male,SST
27,0,1,male,SST
28,0,1,male,SST
29,0,1,male,SST
30,0,1,male,SST
31,0,1,male,SST
32,0,1,male,SST
33,0,1,male,SST
34,0,1,male,SST
35,0,1,male,SST
36,0,1,male,SST
37,0,1,male,SST
38,0,1,male,SST
39,0,1,male,SST
40,0,1,male,SST
41,0,1,male,SST
42,0,1,male,SST
43,0,1,male,SST
44,0,1,male,SST
45,0,1,male,SST
46,0,1,male,SST
47,0,1,male,SST
48,0,1,male,SST
49,0,1,male,SST
50,0,1,female,SST
51,0,1,female,SST
52,0,1,female,SST
53,0,1,female,SST
54,0,1,female,SST
55,0,1,female,SST
56,0,1,female,SST
57,0,1,female,SST
58,0,1,female,SST
59,0,1,female,SST
60,0,1,female,SST
61,0,1,female,SST
62,0,1,female,SST
63,0,1,female,SST
64,0,1,female,SST
65,0,1,female,SST
66,0,1,female,SST
67,0,1,female,SST
68,0,1,female,SST
69,0,1,female,SST
70,0,1,female,SST
71,0,1,female,SST
72,0,1,female,SST
73,0,1,female,SST
74,0,1,female,SST
75,0,1,female,SST
76,0,1,female,SST
77,0,1,female,SST
78,0,1,female,SST
79,0,1,female,SST
80,0,1,female,SST
81,0,1,female,SST
82,0,1,female,SST
83,0,1,female,SST
84,0,1,female,SST
85,0,1,female,SST
86,0,1,female,SST
87,0,1,female,SST
88,0,1,female,SST
89,0,1,female,SST
90,0,1,female,SST
91,0,1,female,SST
92,0,1,female,SST
93,0,1,female,SST
94,0,1,female,SST
95,0,1,female,SST
96,0,1,female,SST
97,0,1,female,SST
98,0,1,female,SST
99,0,1,female,SST
100,0,1,non-binary,SST
101,0,1,non-binary,SST
102,0,1,non-binary,SST
103,0,1,non-binary,SST
104,0,1,non-binary,SST
105,0,1,non-binary,SST
