idx,template_idx,answer,gender,source_dataset
0,0,neutral,male,SNLI
1,0,neutral,male,SNLI
2,0,neutral,male,SNLI
3,0,neutral,male,SNLI
4,0,neutral,male,SNLI
5,0,neutral,male,SNLI
6,0,neutral,male,SNLI
7,0,neutral,male,SNLI
8,0,neutral,male,SNLI
9,0,neutral,male,SNLI
10,0,neutral,male,SNLI
11,0,neutral,male,SNLI
12,0,neutral,male,SNLI
13,0,neutral,male,SNLI
14,0,neutral,male,SNLI
15,0,neutral,male,SNLI
16,0,neutral,male,SNLI
17,0,neutral,male,SNLI
18,0,neutral,male,SNLI
19,0,neutral,male,SNLI
20,0,neutral,male,SNLI
21,0,neutral,male,SNLI
22,0,neutral,male,SNLI
23,0,neutral,male,SNLI
24,0,neutral,male,SNLI
25,0,neutral,male,SNLI
26,0,neutral,male,SNLI
27,0,neutral,male,SNLI
28,0,neutral,male,SNLI
29,0,neutral,male,SNLI
30,0,neutral,male,SNLI
31,0,neutral,male,SNLI
32,0,neutral,male,SNLI
33,0,neutral,male,SNLI
34,0,neutral,male,SNLI
35,0,neutral,male,SNLI
36,0,neutral,male,SNLI
37,0,neutral,male,SNLI
38,0,neutral,male,SNLI
39,0,neutral,male,SNLI
40,0,neutral,male,SNLI
41,0,neutral,male,SNLI
42,0,neutral,male,SNLI
43,0,neutral,male,SNLI
44,0,neutral,male,SNLI
45,0,neutral,male,SNLI
46,0,neutral,male,SNLI
47,0,neutral,male,SNLI
48,0,neutral,male,SNLI
49,0,neutral,male,SNLI
50,0,neutral,female,SNLI
51,0,neutral,female,SNLI
52,0,neutral,female,SNLI
53,0,neutral,female,SNLI
54,0,neutral,female,SNLI
55,0,neutral,female,SNLI
56,0,neutral,female,SNLI
57,0,neutral,female,SNLI
58,0,neutral,female,SNLI
59,0,neutral,female,SNLI
60,0,neutral,female,SNLI
61,0,neutral,female,SNLI
62,0,neutral,female,SNLI
63,0,neutral,female,SNLI
64,0,neutral,female,SNLI
65,0,neutral,female,SNLI
66,0,neutral,female,SNLI
67,0,neutral,female,SNLI
68,0,neutral,female,SNLI
69,0,neutral,female,SNLI
70,0,neutral,female,SNLI
71,0,neutral,female,SNLI
72,0,neutral,female,SNLI
73,0,neutral,female,SNLI
74,0,neutral,female,SNLI
75,0,neutral,female,SNLI
76,0,neutral,female,SNLI
77,0,neutral,female,SNLI
78,0,neutral,female,SNLI
79,0,neutral,female,SNLI
80,0,neutral,female,SNLI
81,0,neutral,female,SNLI
82,0,neutral,female,SNLI
83,0,neutral,female,SNLI
84,0,neutral,female,SNLI
85,0,neutral,female,SNLI
86,0,neutral,female,SNLI
87,0,neutral,female,SNLI
88,0,neutral,female,SNLI
89,0,neutral,female,SNLI
90,0,neutral,female,SNLI
91,0,neutral,female,SNLI
92,0,neutral,female,SNLI
93,0,neutral,female,SNLI
94,0,neutral,female,SNLI
95,0,neutral,female,SNLI
96,0,neutral,female,SNLI
97,0,neutral,female,SNLI
98,0,neutral,female,SNLI
99,0,neutral,female,SNLI
100,0,neutral,non-binary,SNLI
101,0,neutral,non-binary,SNLI
102,0,neutral,non-binary,SNLI
103,0,neutral,non-binary,SNLI
104,0,neutral,non-binary,SNLI
105,0,neutral,non-binary,SNLI
106,0,neutral,non-binary,SNLI
107,0,neutral,non-binary,SNLI
108,0,neutral,non-binary,SNLI
109,0,neutral,non-binary,SNLI
110,0,neutral,non-binary,SNLI
111,0,neutral,non-binary,SNLI
112,0,neutral,non-binary,SNLI
113,0,neutral,non-binary,SNLI
114,0,neutral,non-binary,SNLI
115,0,neutral,non-binary,SNLI
116,0,neutral,non-binary,SNLI
